SOC,NE_OCV,,PE_OCV,FC_Cap,FC_OCV
,,,,3.7846,4.0144
,,,,3.7886,4.0150
,,,,3.7926,4.0159
,,,,3.7966,4.0169
,,,,3.8006,4.0178
,,,,3.8046,4.0187
,,,,3.8086,4.0197
,,,,3.8126,4.0206
,,,,3.8166,4.0215
,,,,3.8206,4.0225
,,,,3.8247,4.0234
,,,,3.8287,4.0243
,,,,3.8327,4.0252
,,,,3.8367,4.0262
,,,,3.8407,4.0274
,,,,3.8447,4.0283
,,,,3.8487,4.0290
,,,,3.8527,4.0299
,,,,3.8567,4.0308
,,,,3.8607,4.0318
,,,,3.8647,4.0327
,,,,3.8688,4.0336
,,,,3.8728,4.0345
,,,,3.8768,4.0358
,,,,3.8808,4.0367
,,,,3.8848,4.0376
,,,,3.8888,4.0386
,,,,3.8928,4.0392
,,,,3.8968,4.0404
,,,,3.9008,4.0411
,,,,3.9048,4.0423
,,,,3.9088,4.0432
,,,,3.9128,4.0442
,,,,3.9168,4.0451
,,,,3.9209,4.0460
,,,,3.9249,4.0469
,,,,3.9289,4.0479
,,,,3.9329,4.0488
,,,,3.9369,4.0497
,,,,3.9409,4.0510
,,,,3.9449,4.0519
,,,,3.9489,4.0528
,,,,3.9529,4.0535
,,,,3.9569,4.0544
,,,,3.9609,4.0553
,,,,3.9649,4.0562
,,,,3.9690,4.0572
,,,,3.9730,4.0581
,,,,3.9770,4.0593
,,,,3.9810,4.0603
,,,,3.9850,4.0612
,,,,3.9890,4.0618
,,,,3.9930,4.0628
,,,,3.9970,4.0637
,,,,4.0010,4.0646
,,,,4.0050,4.0656
,,,,4.0090,4.0668
,,,,4.0130,4.0674
,,,,4.0170,4.0683
,,,,4.0211,4.0693
,,,,4.0251,4.0702
,,,,4.0291,4.0708
,,,,4.0331,4.0718
,,,,4.0371,4.0727
,,,,4.0411,4.0736
,,,,4.0451,4.0745
,,,,4.0491,4.0755
,,,,4.0531,4.0764
,,,,4.0571,4.0773
,,,,4.0611,4.0780
,,,,4.0651,4.0789
,,,,4.0691,4.0795
,,,,4.0731,4.0804
,,,,4.0771,4.0811
,,,,4.0811,4.0820
,,,,4.0851,4.0832
,,,,4.0891,4.0842
,,,,4.0932,4.0848
,,,,4.0972,4.0857
,,,,4.1012,4.0863
,,,,4.1052,4.0873
,,,,4.1092,4.0879
,,,,4.1132,4.0885
,,,,4.1172,4.0894
,,,,4.1212,4.0904
,,,,4.1252,4.0910
,,,,4.1292,4.0919
,,,,4.1332,4.0925
,,,,4.1372,4.0935
,,,,4.1412,4.0941
,,,,4.1452,4.0947
,,,,4.1492,4.0956
,,,,4.1532,4.0962
,,,,4.1572,4.0969
,,,,4.1612,4.0975
,,,,4.1652,4.0984
,,,,4.1693,4.0990
,,,,4.1733,4.0997
,,,,4.1773,4.1003
,,,,4.1813,4.1009
,,,,4.1853,4.1015
,,,,4.1893,4.1021
,,,,4.1933,4.1028
,,,,4.1973,4.1034
,,,,4.2013,4.1040
,,,,4.2053,4.1046
,,,,4.2093,4.1052
,,,,4.2133,4.1059
,,,,4.2173,4.1065
,,,,4.2213,4.1071
,,,,4.2253,4.1077
,,,,4.2293,4.1080
,,,,4.2333,4.1086
,,,,4.2373,4.1090
,,,,4.2414,4.1096
,,,,4.2454,4.1099
,,,,4.2494,4.1105
,,,,4.2534,4.1111
,,,,4.2574,4.1114
,,,,4.2614,4.1117
,,,,4.2654,4.1121
,,,,4.2694,4.1127
,,,,4.2734,4.1130
,,,,4.2774,4.1133
,,,,4.2814,4.1142
,,,,4.2854,4.1145
,,,,4.2894,4.1148
,,,,4.2934,4.1152
,,,,4.2974,4.1155
,,,,4.3014,4.1158
,,,,4.3054,4.1164
,,,,4.3094,4.1167
,,,,4.3134,4.1170
,,,,4.3175,4.1173
,,,,4.3215,4.1176
,,,,4.3255,4.1179
,,,,4.3295,4.1183
,,,,4.3335,4.1186
,,,,4.3375,4.1189
,,,,4.3415,4.1192
,,,,4.3455,4.1195
,,,,4.3495,4.1198
,,,,4.3535,4.1201
,,,,4.3575,4.1204
,,,,4.3615,4.1207
,,,,4.3655,4.1207
,,,,4.3695,4.1210
,,,,4.3735,4.1217
,,,,4.3775,4.1223
,,,,4.3815,4.1226
,,,,4.3855,4.1229
,,,,4.3896,4.1229
,,,,4.3936,4.1232
,,,,4.3976,4.1235
,,,,4.4016,4.1238
,,,,4.4056,4.1241
,,,,4.4096,4.1245
,,,,4.4136,4.1248
,,,,4.4176,4.1251
,,,,4.4216,4.1254
,,,,4.4256,4.1257
,,,,4.4296,4.1260
,,,,4.4336,4.1263
,,,,4.4376,4.1266
,,,,4.4416,4.1269
,,,,4.4456,4.1272
,,,,4.4496,4.1276
,,,,4.4536,4.1279
,,,,4.4576,4.1282
,,,,4.4617,4.1285
,,,,4.4657,4.1288
,,,,4.4697,4.1291
,,,,4.4737,4.1294
,,,,4.4777,4.1300
,,,,4.4817,4.1303
,,,,4.4857,4.1307
,,,,4.4897,4.1310
,,,,4.4937,4.1316
,,,,4.4977,4.1319
,,,,4.5017,4.1322
,,,,4.5057,4.1325
,,,,4.5097,4.1328
,,,,4.5137,4.1331
,,,,4.5177,4.1334
,,,,4.5217,4.1341
,,,,4.5257,4.1344
,,,,4.5297,4.1347
,,,,4.5337,4.1350
,,,,4.5378,4.1353
,,,,4.5418,4.1359
,,,,4.5458,4.1362
,,,,4.5498,4.1365
,,,,4.5538,4.1372
,,,,4.5578,4.1375
,,,,4.5618,4.1381
,,,,4.5658,4.1387
,,,,4.5698,4.1390
,,,,4.5738,4.1393
,,,,4.5778,4.1400
,,,,4.5818,4.1403
,,,,4.5858,4.1409
,,,,4.5898,4.1412
,,,,4.5938,4.1418
,,,,4.5978,4.1421
,,,,4.6018,4.1427
,,,,4.6058,4.1431
,,,,4.6099,4.1437
,,,,4.6139,4.1443
,,,,4.6179,4.1446
,,,,4.6219,4.1452
,,,,4.6259,4.1458
,,,,4.6299,4.1465
,,,,4.6339,4.1471
,,,,4.6379,4.1477
,,,,4.6419,4.1483
,,,,4.6459,4.1486
,,,,4.6499,4.1496
,,,,4.6539,4.1499
,,,,4.6579,4.1508
,,,,4.6619,4.1511
,,,,4.6659,4.1517
,,,,4.6699,4.1527
,,,,4.6739,4.1533
,,,,4.6779,4.1542
,,,,4.6819,4.1548
,,,,4.6860,4.1555
,,,,4.6900,4.1561
,,,,4.6940,4.1570
,,,,4.6980,4.1576
,,,,4.7020,4.1582
,,,,4.7060,4.1592
,,,,4.7100,4.1601
,,,,4.7140,4.1607
,,,,4.7180,4.1620
,,,,4.7220,4.1626
,,,,4.7260,4.1635
,,,,4.7300,4.1644
,,,,4.7340,4.1654
,,,,4.7380,4.1663
,,,,4.7420,4.1672
,,,,4.7460,4.1679
,,,,4.7500,4.1691
,,,,4.7540,4.1703
,,,,4.7581,4.1713
,,,,4.7621,4.1722
,,,,4.7661,4.1731
,,,,4.7701,4.1744
,,,,4.7741,4.1756
,,,,4.7781,4.1765
,,,,4.7821,4.1781
,,,,4.7861,4.1793
,,,,4.7901,4.1803
,,,,4.7941,4.1815
,,,,4.7981,4.1827
,,,,4.8021,4.1840
,,,,4.8061,4.1855
,,,,4.8101,4.1868
,,,,4.8141,4.1880
,,,,4.8181,4.1896
,,,,4.8221,4.1908
,,,,4.8261,4.1923
